"id_cust","recency","frequency","monetary"
"1449019628",101,37,12562717
"1449019629",101,37,12562717
"1449019630",101,37,12562717
"1449019631",101,40,13550898
"1449019632",101,43,14539079
"1399019633",98,42,13271807
"1449019634",98,41,13129989
"1399019635",98,40,12425444
"1399019636",72,48,13334532
"1449019637",72,46,13050896
"1449019638",102,34,11574536
"1449019639",102,34,11574536
"1449019640",102,34,11574536
"1399019641",102,35,11716354
"1379019642",97,15,4940905
"1379019643",97,15,4940905
"1379019644",97,15,4940905
"1379019645",97,15,4940905
"1379019646",97,15,4940905
"1379019647",97,15,4940905
"1379019648",97,12,3952724
"1379019649",97,12,3952724
"1379019650",97,12,3952724
"1379019651",97,15,4940905
"1389019652",97,13,3531815
"1059019653",97,9,2964543
"1389019654",97,13,3531815
"1389019655",97,11,3248179
"1389019656",97,11,3248179
"1059019657",97,9,2964543
"1059019658",97,9,2964543
"1059019659",97,9,2964543
"1059019660",96,12,3952724
"1059019661",96,12,3952724
"1079019662",96,15,4940905
"1079019663",96,15,4940905
"1079019664",96,15,4940905
"1079019665",96,15,4940905
"1079019666",96,15,4940905
"1079019667",96,15,4940905
"1079019668",96,15,4940905
"1079019669",96,15,4940905
"1079019771",97,9,2964543
"1079019772",97,9,2964543
"1449019773",97,10,2991816
"1079019774",97,9,2964543
"1079019775",97,9,2964543
"1079019776",97,9,2964543
"1079019778",97,9,2964543
"1079019779",97,9,2964543
"1079019780",97,9,2964543
"1079019781",97,9,2964543
"1079019782",97,12,3952724
"1079019783",97,12,3952724
"1079019784",97,12,3952724
"1079019785",97,12,3952724
"1389019786",138,1,141818
"1419019787",130,13,1610909
"1389019788",130,5,1834544
"1309019789",130,3,988181
"1309019790",130,3,988181
"1389019791",130,4,1129999
"1389019792",130,6,1976362
"1389019793",130,4,1129999
"1309019794",130,3,988181
"1309019795",130,3,988181
"1389019796",130,6,1413635
"1389019798",138,3,425454
"1399019800",70,30,7883627
"1399019801",74,25,6133629
"1399019802",74,25,6133629
"1399019803",74,29,6138174
"1399019804",74,25,6133629
"1399019805",74,25,6133629
"1399019806",74,20,4861812
"1399019807",74,20,4861812
"1399019808",74,20,4861812
"1399019809",74,24,4866357
"1399019810",74,20,4861812
"1399019811",74,20,4861812
"1399019812",74,20,4861812
"1399019813",74,34,9098172
"1399019814",74,36,9944535
"1389019815",74,29,7263628
"1389019816",74,29,7263628
"1389019817",74,28,7121810
"1389019818",127,21,6354540
"1389019819",116,24,7342721
"1389019820",138,3,988181
"1389019821",138,3,988181
"1389019822",138,3,988181
"1389019823",138,3,988181
"1449019824",138,4,1692726
"1449019825",138,4,1692726
"1449019826",128,7,2680907
"1449019827",128,7,2680907
"1449019828",128,7,2680907
"1449019829",128,9,3527270
"1449019830",130,7,2680907
"1449019831",130,7,2680907
"1449019832",138,4,1692726
"1449019833",138,3,1550908
"1449019834",138,5,2397271
"1449019835",138,5,2397271
"1449019836",71,24,5298630
"1449019837",71,18,4578176
"1449019838",71,22,5145448
"1449019839",71,21,4440903
"1449019840",71,15,3589995
"1449019841",71,17,3743177
"1449019842",71,15,3589995
"1449019843",141,9,3527270
"1389019850",137,6,1413635
"1379019851",137,3,988181
"1379019852",137,3,988181
"1379019853",137,3,988181
"1379019854",137,3,988181
"1439019855",137,12,3952724
"1439019856",137,12,3952724
"1439019857",137,12,3952724
"1439019858",137,11,3248179
"1439019859",137,10,3106361
"1439019860",140,7,2118180
"1439019861",104,9,2401816
"1439019862",104,10,3106361
"1439019863",104,8,1697271
"1439019864",104,12,3952724
"1439019865",104,12,3952724
"1439019866",104,12,3952724
"1439019867",140,9,2964543
"1439019868",140,9,2964543
"1439019869",140,9,2964543
"1439019870",140,9,2964543
"1439019871",140,13,2969088
"1439019872",140,9,2964543
"1259118883",125,1,211818
"1389161989",124,2,41700
"279203011",17,2,36364
"589203191",12,11,1631817
"909285198",90,3,36363
"909285198",90,3,36363
"879291607",62,4,70908
"1249341990",117,2,845454
"1269402916",126,1,211818
"1099422125",13,12,470001
"859445637",52,2,363636
"779456533",41,2,283636
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"529475555",45,2,22727
"39478854",3,1,141818
"1059510025",105,1,28182
"1439529262",11,8,727272
"1379611112",25,5,1832726
"849699400",84,1,422727
"1189783406",118,1,63636
"139785777",13,1,90909
"1459863715",40,27,2499991
"339887724",19,2,27273
"339887751",33,1,18182
"1479933991",147,1,118182
"629935401",62,1,18182
"1299983998",129,1,100500
"1309991724",130,1,90909
"911051715",5,17,4938178
"1331066442",133,1,211818
"761491472",76,1,13636
"931494185",93,1,28182
"1071524725",107,1,9091
"401527435",40,2,2728
"411531928",41,1,9091
"1391546782",139,1,1364
"61586778",6,1,11364
"661716000",66,1,63636
"1441881410",74,4,1029999
"961907779",41,2,72727
"1391942252",139,1,4545
"412003201",41,2,36364
"1242012578",124,1,704545
"1392153123",115,4,14999
"1252221422",125,1,28182
"1502232201",3,90,385012
"1162236401",39,2,5909
"1412300123",141,1,20000
"1182320664",118,1,22727
"1042336656",104,1,22727
"1252551535",125,1,141818
"1372565815",137,1,4545
"1452580766",37,7,193180
"902680994",89,2,9090
"902680994",89,2,9090
"902680994",89,2,9090
"902680994",89,2,9090
"1432800346",82,3,90909
"412820689",41,2,2728
"1022833362",102,1,100500
"1392839553",90,3,60454
"822848585",82,1,90909
"1472880256",139,4,13183
"942990404",94,1,28182
"683014549",6,8,145456
"903029095",90,1,4545
"653036090",6,5,90910
"143098461",14,1,59091
"1403220421",124,3,56818
"63291888",5,6,1860908
"63305188",6,1,1364
"1383385160",138,1,23636
"1463434551",146,1,2727
"893484676",89,2,36364
"473488922",34,3,3200000
"473488922",34,3,3200000
"763639718",76,1,28182
"1073655874",107,1,22727
"63684061",6,2,9090
"1463759611",122,2,45454
"933927759",93,1,10500
"544122552",26,4,79545
"414342989",40,3,11819
"1394353096",139,1,1364
"1174674009",117,2,353636
"1024816927",102,1,22727
"904881946",90,3,36363
"904882142",5,3,11819
"904882142",5,3,11819
"904882142",5,3,11819
"904882142",5,3,11819
"1134898706",113,3,90909
"904939924",90,1,9091
"85000374",8,1,20850
"1385040430",138,2,5909
"875152015",87,1,9091
"1015182020",101,1,28182
"405235014",40,1,1364
"1255265120",125,1,28182
"1375326204",137,1,90909
"835332499",83,1,1364
"1375398936",117,2,26000
"895434671",89,1,9091
"1395456195",139,1,1364
"895464536",89,1,18182
"145470691",14,1,22727
"895570505",89,1,9091
"1375579733",6,4,60500
"975598466",97,1,22727
"1305644101",111,6,211819
"905728280",90,1,54545
"1035824899",86,3,209091
"985864561",94,3,56818
"805881535",80,1,22727
"405926615",40,1,11364
"325959598",32,1,11364
"1176095255",40,3,87272
"876115454",48,9,835454
"416139414",41,1,4545
"196333214",19,1,27273
"1376373030",137,1,7000
"1226417554",122,1,272727
"1396421116",87,2,10455
"1476470488",147,1,1364
"896573434",89,1,90909
"1386608439",138,2,22727
"1106734831",103,3,136363
"196743657",7,2,33000
"686755871",19,8,624998
"416761044",39,4,5456
"906762765",90,1,9091
"1246788629",124,1,22727
"846803862",84,1,11364
"1386857715",138,1,18182
"1386939893",138,2,13636
"416951574",41,1,4545
